Team,A Move,Gravy,Outer,Low,Missed NEG,Gravy,High,Low ,Missed NEG,Rotation,Position,Climbed,Climb Tik NEG,Z-score FINAL
6885,0.04928080291,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,0.7020569079,0,0,0,-0.4419417382,0.5491335735,-3.401747172
6960,-0.6665026623,0.6717091158,0.4048951489,-0.1739352611,0,0.09091351379,0.1293490146,-0.3241099281,0,0,0,-0.4419417382,-0.1206886975,-0.4303114941
7042,0.4071725355,-0.5138173316,0.6851815596,-0.1739352611,0,-0.8954639328,0.5255853629,-0.3241099281,0,0,0,0.5050762723,-0.6691494419,-0.4534601652
7157,0.4071725355,2.87340109,0.2131202363,-0.1739352611,0,2.139543595,0.5255853629,-0.3241099281,0,0,0,-0.7071067812,1.03924743,5.992918279
7326,-0.8198848334,-0.5138173316,0.2131202363,0.08696763056,0,0.09091351379,-0.9311659176,-0.263747173,0,0,0,-0.7071067812,-0.03083449039,-2.875555147
7445,0.4071725355,0.6717091158,0.6114219779,-0.1739352611,0,-0.4402128036,0.6188174449,-0.3241099281,0,0,0,-0.4419417382,0.7533476804,1.682269023
7459,-0.001846587463,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-0.4999675386,-0.3241099281,0,0,0,0.2020305089,-0.3890843809,-3.934198368
7607,-1.024394395,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,-0.08265890783,0,0,0,-0.7071067812,0.4402193831,-5.634217419
7706,0.4071725355,-0.5138173316,-0.421212167,-0.1739352611,0,-1.502465438,-0.7680097742,-0.3241099281,0,0,0,-0.7071067812,0.973898916,-3.02958523
8006,-0.3086109297,-0.5138173316,-0.7310024104,0.6087734139,0,-1.502465438,-1.339056276,-0.3241099281,0,0,0,-0.7071067812,1.284304359,-3.533091323
